          MJD       m       dm    uJy   duJy     Mask
 58274.541118 -20.065    0.542    -34     18 0x002000
 58274.544215 -18.775    0.324   -112     36 0x500831
 58274.553179  18.738    0.173    116     20 0x500131
 58274.564872  18.580    0.135    134     18 0x500331
 58274.576224 -20.650    0.886    -20     18 0x002000
 58278.527831  18.129    0.084    203     17 0x400830
 58278.534777  19.070    0.185     86     16 0x400230
 58278.537130  17.984    0.078    233     18 0x500a31
 58278.544489  18.820    0.206    108     22 0x500a31
 58278.544950 -20.600    1.123    -21     24 0x002000
 58278.547855  15.658    0.009   1981     18 0x500a31
 58278.555740  18.269    0.121    179     22 0x500a31
 58278.556417  18.154    0.108    199     21 0x500a31
 58278.559068  17.882    0.075    255     19 0x500831
 58278.567126  19.156    0.293     79     23 0x400330
 58278.567752  19.445    0.341     60     21 0x400220
 58282.539605  15.126    0.004   3234     14 0xd00931
 58282.547081  18.471    0.105    148     16 0xd00931
 58282.549420  16.042    0.010   1391     13 0xd00331
 58282.556910  15.619    0.006   2053     13 0xd00831
 58282.559275  19.239    0.198     73     14 0xc00930
 58282.566722  18.030    0.068    223     15 0xd00b31
 58282.568587  15.755    0.009   1811     16 0xd00831
 58282.576058  17.801    0.055    275     15 0xd00a31
 58286.531275  15.083    0.005   3362     16 0xd00931
 58286.541201  15.769    0.009   1788     16 0xd00831
 58286.552344  16.108    0.011   1309     15 0xd00c31
 58286.563268  15.556    0.007   2176     14 0x900031
 58288.535140 -22.586    4.219     -3     14 0x080030
 58288.547290 -21.019    1.213    -14     17 0x000030
 58288.557126 -23.137    6.000     -2     12 0x000030
 58288.566896  20.680    0.668     19     13 0x000030
 58290.506077  15.062    0.005   3430     18 0xd00831
 58290.506535  14.266    0.003   7137     20 0xd00831
 58290.517087  22.611    5.000      3     16 0xc00a30
 58290.519914  15.225    0.005   2952     16 0xd00831
 58290.527966  15.284    0.005   2795     14 0xd00831
 58290.531329  14.952    0.005   3795     17 0xd00a31
 58290.539681  15.635    0.009   2023     17 0xd00831
 58290.550810 -19.095    0.256    -84     21 0xc00a30
 58292.517895  19.030    0.177     89     16 0x801030
 58292.518352  20.031    0.469     35     16 0x800030
 58292.528935  23.937   11.600      1     11 0x880030
 58292.532657  19.016    0.177     90     16 0x881030
 58292.538765  20.144    0.467     32     15 0x880030
 58292.542493  19.740    0.270     46     12 0x880010
 58292.548819 -20.575    0.524    -21     11 0xc00110
 58292.552989  20.767    0.708     18     13 0x800000
 58294.491572  18.617    0.180    130     23 0x400210
 58294.508759 -19.800    0.611    -44     27 0x000000
 58294.512477  19.026    0.253     89     22 0x081030
 58294.519726 -20.883    1.343    -16     22 0x080010
 58294.523409  14.159    0.003   7881     24 0x500831
 58294.531032  22.661    7.385      3     23 0x400330
 58294.534899  21.075    1.918     14     26 0x000000
 58294.546208  19.897    0.573     40     23 0x400220
 58296.564966 -20.640    1.360    -20     27 0x800000
 58296.565422  18.856    0.222    104     23 0x800000
 58296.566574 -22.212    6.314     -5     30 0x800000
 58296.576913  19.477    0.552     59     32 0xc00330
 58296.578568  19.096    0.298     84     25 0x880010
 58296.588697  21.242    1.816     12     21 0xc00110
 58296.589611  19.775    0.698     45     31 0x800000
 58296.599727  18.521    0.185    142     26 0xc00110
 58298.466448  20.961    2.188     15     33 0x002000
 58298.479077  21.329    3.160     11     34 0x002000
 58298.490169 -22.323    7.588     -4     32 0x400220
 58298.498076  19.427    0.584     62     36 0x400220
 58300.499369  17.773    6.106    282   1724 0x100002
 58300.515823 -19.382    0.720    -64     46 0x002000
 58300.519986 -20.158    0.602    -31     19 0x002000
 58310.480670  15.901    0.009   1584     14 0xd00831
 58310.489586  18.047    0.070    219     15 0x980031
 58310.490045  15.949    0.008   1516     13 0xd00b31
 58310.490966  18.198    0.084    191     16 0xd00831
 58310.491427  15.271    0.006   2829     17 0xd00931
 58310.505904  18.641    0.142    127     18 0xd00b31
 58310.506364  15.329    0.006   2680     16 0xd00831
 58310.510516  22.356    8.474      4     35 0xc00830
 58318.448633  15.657    0.007   1982     14 0xd00831
 58318.464968  15.135    0.005   3206     15 0xd00831
 58318.468654  16.026    0.009   1411     13 0xd00831
 58318.482656  17.942    0.056    242     14 0xd00b31
 58318.484502  18.488    0.188    146     28 0xd00811
 58320.457180  23.721   17.333      1     20 0x000000
 58320.475276  18.608    1.605    131    210 0x100002
 58320.478980  19.294    2.145     70    149 0x100002
 58320.491914  19.511    3.470     57    198 0x100002
 58320.493379  20.327    2.229     27     60 0x500832
 58320.497529  17.580    0.453    337    153 0x100002
 58320.510828  19.394    0.556     63     35 0x000000
 58320.518694 -21.009    1.342    -14     19 0x000000
 58322.452236  19.340    0.258     67     17 0x080010
 58322.468164  19.323    0.277     68     19 0x080010
 58322.468625 -20.973    1.377    -15     20 0x400830
 58322.472774 -20.146    0.655    -32     21 0x081030
 58324.454364 -18.575    0.761   -135    103 0x500b22
 58324.456193  19.202    2.659     76    201 0x100002
 58324.471664  18.200    2.823    190    538 0x500822
 58324.473037 -19.002    2.573    -91    234 0x100002
 58324.474410  20.779    2.065     18     37 0x000000
 58324.476265  19.631    0.736     51     38 0x000000
 58324.489880 -20.278    0.940    -28     26 0x000000
 58324.494938  19.964    0.782     38     29 0x000000
 58328.419119 -20.498    1.045    -23     24 0x000000
 58328.419576 -21.175    1.894    -12     23 0x000000
 58328.420033  20.395    1.089     25     28 0x000000
 58328.420490  14.980    0.005   3698     18 0x180011
 58328.421406  22.690    7.133      3     22 0x000000
 58328.436260  21.134    2.023     13     26 0x400110
 58328.437174 -20.637    1.097    -20     22 0x000000
 58328.437632 -21.517    2.782     -9     25 0x000000
 58328.440635 -20.297    0.982    -28     27 0x000000
 58328.441093  20.209    0.687     30     21 0x000000
 58328.441550 -21.460    2.125    -10     20 0x000000
 58328.455348 -20.980    1.685    -15     25 0x000000
 58330.458054  21.157    1.978     12     25 0x000000
 58330.459896 -20.082    0.954    -34     32 0x000000
 58330.460818  20.265    0.990     28     28 0x000000
 58330.475349  20.353    0.931     26     24 0x000000
 58334.446199  17.009    0.150    571     86 0xd00a33
 58334.456438  17.985    0.379    232     88 0xd00a32
 58334.472797  18.014    0.290    226     66 0x900002
 58334.475559  18.731    1.123    117    131 0x900002
 58338.433111  17.471    0.043    373     16 0xd00a31
 58338.441567  15.027    0.005   3542     17 0xd00931
 58338.442028  14.752    0.004   4561     19 0x900031
 58338.443407  15.608    0.008   2075     17 0xd00931
 58338.443867  15.694    0.009   1915     17 0xd00831
 58338.445255  14.230    0.003   7381     24 0xd00931
