          MJD       m       dm    uJy   duJy     Mask
 59006.494428  15.692    0.015   1919     28 0x002010
 59006.497193  15.672    0.013   1955     24 0x400110
 59006.508204  15.688    0.013   1927     24 0x400110
 59008.513387  15.716    0.042   1878     79 0x100002
 59008.515215  15.727    0.041   1859     76 0x100022
 59008.518419  15.723    0.024   1866     44 0x002000
 59008.524870  15.640    0.041   2014     83 0x100002
 59010.502493  15.717    0.011   1875     21 0x080030
 59010.504331  15.693    0.013   1918     24 0x000030
 59010.509861  15.718    0.011   1874     21 0x000010
 59010.514954  15.707    0.012   1893     23 0x000010
 59011.510932  15.690    0.022   1923     43 0x002000
 59011.514156  15.656    0.015   1984     30 0x400130
 59011.518311  15.702    0.014   1901     26 0x400110
 59011.523352  15.685    0.012   1931     23 0x002030
 59014.498675  15.693    0.011   1919     21 0x400130
 59014.500515  15.698    0.010   1909     20 0x400310
 59014.504263  14.559    0.003   5451     19 0x500111
 59014.511185  15.704    0.011   1898     21 0x002010
 59015.508510  15.693    0.012   1917     23 0x082010
 59015.510349  15.722    0.011   1867     20 0x400830
 59015.513131  15.715    0.012   1880     22 0x400810
 59015.518204  15.711    0.011   1886     20 0x400130
 59018.484480  15.623    0.010   2046     21 0x801010
 59018.486325  15.731    0.012   1852     22 0x880010
 59018.489544  15.782    0.012   1766     22 0x801030
 59018.495535  15.696    0.013   1913     24 0xc00110
 59026.470935  15.736    0.010   1844     18 0x082010
 59026.473242  15.731    0.011   1852     20 0x400b30
 59026.476004  14.898    0.005   3988     19 0x180031
 59026.481545  15.776    0.011   1776     19 0x400130
 59030.460711  15.806    0.013   1728     22 0x002010
 59030.463929  15.784    0.012   1763     21 0x400b30
 59030.466693  15.782    0.012   1766     20 0x082030
 59030.473138  15.785    0.011   1762     20 0x400310
 59032.439338  15.787    0.015   1758     27 0x880010
 59032.441217  15.746    0.016   1827     29 0x880010
 59032.452314  15.788    0.020   1757     35 0x800000
 59032.456442  15.732    0.015   1850     29 0x800000
 59032.458273  15.869    0.016   1630     26 0x801000
 59032.460159  15.841    0.015   1673     25 0x881030
 59034.454049  15.802    0.017   1735     29 0x400110
 59034.455889  15.790    0.019   1754     34 0x400110
 59034.459586  15.818    0.017   1710     29 0x000000
 59034.465114  15.778    0.017   1773     30 0x000010
 59034.485537  15.828    0.028   1694     48 0x000000
 59034.488753  15.769    0.024   1789     43 0x400810
 59034.523992  15.862    0.020   1642     32 0x000000
 59036.449241  15.784    0.016   1764     29 0x000000
 59036.451069  15.780    0.017   1770     30 0x000000
 59036.453828  15.785    0.015   1762     27 0x000000
 59036.458863  15.787    0.015   1758     27 0x400110
 59038.439729  15.802    0.013   1734     23 0x000010
 59038.444835  15.807    0.012   1727     21 0x400110
 59038.446675  15.815    0.014   1714     24 0x000030
 59038.465286  14.015    0.003   8994     24 0x180031
 59038.467460  15.795    0.013   1746     23 0x400210
 59038.493589  15.803    0.019   1733     32 0x400110
 59038.522106  15.862    0.016   1642     27 0x080030
 59042.426737  15.809    0.013   1724     22 0x002010
 59042.430904  15.792    0.013   1751     24 0x002010
 59042.456244  15.879    0.036   1616     59 0x100002
 59042.459035  15.800    0.029   1738     50 0x400210
 59046.415573  14.757    0.035   4541    159 0xd00833
 59046.418339  13.735    0.005  11638     56 0xd00833
 59046.422499  14.387    0.047   6386    298 0xd00833
 59046.427591  15.086    0.040   3354    133 0xd00833
 59050.458645  15.861    0.010   1643     17 0x980031
 59050.464176  14.933    0.005   3862     18 0xd00931
 59050.500057  15.809    0.011   1724     19 0xd00331
 59050.502841  14.793    0.004   4394     19 0xd00a31
 59054.439940  15.880    0.013   1614     21 0x002010
 59054.443160  15.835    0.012   1683     20 0x400330
 59054.484637  15.896    0.011   1591     17 0x400830
 59054.490172  15.213    0.006   2985     17 0x100031
 59058.429396  15.873    0.012   1625     20 0x082030
 59058.432622  15.839    0.012   1677     20 0x400130
 59058.438617  15.890    0.010   1599     16 0x400130
 59058.473114  15.858    0.013   1648     21 0x400810
 59060.411252  15.842    0.014   1673     23 0x000010
 59060.414582  15.865    0.014   1638     23 0x000010
 59060.447242  15.818    0.013   1709     22 0x000010
 59060.452813  15.844    0.014   1668     23 0x080010
 59062.430297  15.850    0.012   1660     20 0x400110
 59062.433527  15.877    0.014   1619     23 0x400110
 59062.439050  15.847    0.013   1664     22 0x400110
 59062.451019  15.886    0.013   1606     21 0x082010
 59064.401906  15.842    0.018   1672     30 0x000000
 59064.435261  15.815    0.017   1714     29 0x000000
 59064.438462  15.839    0.019   1676     32 0x000010
 59064.443970  15.873    0.020   1626     32 0x000010
 59068.440473  15.858    0.015   1648     24 0x000030
 59068.444137  15.852    0.014   1656     23 0x000010
 59068.450584  15.857    0.014   1649     24 0x000000
 59068.462071  15.847    0.014   1664     22 0x000010
 59070.403818  15.922    0.012   1553     19 0x400830
 59070.407058  15.899    0.012   1586     18 0x400830
 59070.414429  15.890    0.012   1600     19 0x400910
 59070.449519  15.913    0.013   1567     20 0x002030
 59072.399995  15.888    0.012   1603     20 0x000010
 59072.403198  15.858    0.012   1648     20 0x000010
 59072.410062  15.911    0.013   1569     21 0x000010
 59072.420181  15.824    0.013   1700     22 0x001010
 59074.425311  15.921    0.012   1555     18 0x400130
 59074.429478  15.859    0.012   1646     20 0x082030
 59074.435475  15.911    0.011   1569     17 0x400110
 59074.450777  15.883    0.012   1610     19 0x002030
 59078.373281  15.914    0.011   1565     17 0x000030
 59078.376529  15.933    0.012   1537     18 0x080030
 59078.382062  15.914    0.012   1564     18 0x000030
 59078.415912  15.932    0.011   1539     17 0x000030
 59082.400925  15.939    0.012   1528     18 0x400d30
 59082.404149  15.910    0.013   1570     21 0x082030
 59082.410141  15.924    0.011   1551     17 0x002010
 59082.420277  15.968    0.012   1488     17 0x400830
 59086.346044  15.938    0.011   1530     18 0x400110
 59086.349319  15.944    0.013   1522     19 0x082010
 59086.354841  15.926    0.014   1547     21 0x400130
 59086.387294  15.942    0.012   1524     19 0x082010
 59088.348188  15.952    0.013   1511     20 0x000010
 59088.351390  15.957    0.012   1504     18 0x000010
 59088.357336  15.928    0.013   1544     19 0x000010
 59088.367422  15.931    0.013   1540     20 0x000030
 59088.375910  15.949    0.015   1516     23 0x000030
 59088.379118  15.917    0.012   1561     19 0x000010
 59088.385553  15.910    0.013   1570     21 0x080010
 59088.420227  15.905    0.012   1577     20 0x000010
 59090.360022  15.969    0.015   1488     22 0x400110
 59090.363242  15.949    0.015   1515     22 0x002030
 59090.368771  15.994    0.014   1453     21 0x400130
 59090.380295  15.969    0.013   1487     20 0x082010
 59092.379530  15.923    0.016   1551     25 0x000010
 59092.383652  15.923    0.020   1552     31 0x000000
 59092.389150  15.950    0.020   1514     30 0x080010
 59092.400640  16.060    0.019   1368     26 0x001000
 59092.402950  15.914    0.018   1565     28 0x000000
 59094.347918  15.974    0.018   1481     26 0x000000
 59094.350678  15.969    0.019   1487     28 0x000000
 59094.356210  15.941    0.017   1526     26 0x080010
 59094.366366  15.966    0.016   1492     24 0x080010
 59096.332585  15.948    0.018   1516     27 0x000010
 59096.335802  15.942    0.017   1525     26 0x000010
 59096.341755  15.945    0.018   1521     27 0x000010
 59096.343138  16.090    0.022   1331     29 0x001000
 59096.351848  15.960    0.017   1499     26 0x000010
 59098.351646  15.997    0.013   1450     19 0x080010
 59098.354865  15.955    0.014   1507     20 0x080010
 59098.360857  15.959    0.013   1500     19 0x000030
 59098.371911  15.981    0.012   1472     17 0x080030
 59100.355648  15.904    0.012   1579     20 0x880030
 59100.359314  15.936    0.014   1533     22 0x800010
 59100.364831  15.975    0.015   1479     22 0x800030
 59100.370813  15.900    0.013   1585     21 0x880010
 59100.376317  15.982    0.014   1470     21 0xc00130
 59100.377693  15.952    0.014   1511     22 0x800010
 59100.380945  15.968    0.017   1489     26 0x880010
 59100.390692  15.928    0.018   1545     28 0xc00430
 59102.327594  15.994    0.010   1454     15 0x000030
 59102.330366  16.014    0.012   1427     18 0x000030
 59102.335896  15.994    0.010   1453     15 0x080010
 59102.346970  16.020    0.012   1419     17 0x000030
 59106.351419  15.994    0.012   1454     17 0x000000
 59106.354642  15.989    0.012   1461     18 0x080010
 59106.361109  15.982    0.011   1469     16 0x000000
 59106.371312  15.978    0.011   1475     16 0x000030
 59110.305865  16.040    0.046   1393     64 0x100002
 59110.309086  16.008    0.018   1435     26 0x002030
 59110.315536  15.568    0.162   2152    348 0x100002
 59110.326598  16.019    0.016   1420     22 0x002000
 59114.299385  14.753    0.004   4558     19 0x500111
 59114.302610  15.994    0.013   1454     19 0x000000
 59114.308143  16.024    0.013   1414     19 0x400110
 59114.318765  16.011    0.015   1431     21 0x000010
 59114.320615  16.030    0.013   1406     18 0x000000
 59114.324301  16.002    0.012   1443     17 0x000000
 59114.329855  16.007    0.014   1436     20 0x000000
 59114.340474  16.003    0.013   1441     19 0x080030
 59118.289388  15.998    0.013   1448     19 0x400230
 59118.292620  15.968    0.014   1488     21 0x001010
 59118.298170  16.010    0.015   1432     22 0x080010
 59118.304624  16.046    0.015   1386     21 0x400110
 59118.307856  16.051    0.014   1379     20 0x080010
 59118.309235  16.067    0.018   1359     25 0x080010
 59118.314787  16.056    0.016   1373     22 0x000030
 59118.324937  16.041    0.015   1392     21 0x400110
 59120.319473  16.340    0.096   1057    102 0x500832
 59120.323147  16.055    0.017   1374     24 0x000010
 59120.329135  16.012    0.018   1429     26 0x000010
 59120.339386  15.994    0.016   1453     23 0x000010
 59122.321082  16.046    0.017   1386     24 0x400210
 59122.324311  16.066    0.020   1361     28 0x080030
 59122.331251  16.067    0.021   1358     29 0x080010
 59122.341025  16.074    0.021   1350     28 0x000010
 59126.263729  15.952    0.020   1511     30 0x001000
 59126.266954  16.057    0.016   1372     22 0x000030
 59126.272491  16.047    0.016   1385     22 0x080030
 59126.284013  16.024    0.015   1414     21 0x400110
 59130.321996  16.166    0.015   1241     19 0x100031
 59130.324759  16.064    0.012   1362     17 0x080030
 59130.328447  16.058    0.013   1371     18 0x000030
 59130.332597  16.135    0.014   1276     18 0x500231
 59130.334900  16.063    0.013   1363     18 0x080030
 59130.346491  16.061    0.017   1367     23 0x000030
 59134.316252  17.332    0.755    424    320 0x500812
 59134.319115  16.039    0.027   1395     38 0x080010
 59134.324345  16.049    0.019   1381     26 0x080030
 59134.328160  15.932    0.131   1540    202 0x500812
 59134.330035  16.017    0.107   1423    153 0x500812
 59134.338594  16.105    0.025   1312     32 0x000000
 59138.305974  16.085    0.015   1336     20 0x080010
 59138.309664  16.082    0.015   1340     20 0x400130
 59138.316572  16.122    0.018   1292     23 0x000000
 59138.326696  16.117    0.018   1298     24 0x000000
 59142.228915  16.303    0.399   1094    436 0xd00912
 59142.239059  15.592    0.317   2104    668 0x900002
 59144.244019  14.309    0.340   6861   2334 0x100002
 59144.244935  15.986    0.016   1464     24 0x082030
 59144.248614  16.069    0.024   1356     32 0x082010
 59144.254128  15.899    0.016   1586     25 0x180031
 59144.265125  16.129    0.022   1284     28 0x400110
 59146.290366  16.120    0.014   1294     18 0x000000
 59146.294049  16.149    0.016   1260     20 0x000000
 59146.299576  16.134    0.015   1278     19 0x080010
 59146.310709  16.137    0.015   1274     19 0x080010
 59148.269455  16.080    0.018   1342     25 0x000000
 59148.272656  16.066    0.017   1360     24 0x080010
 59148.278152  16.062    0.017   1365     23 0x000030
 59148.289187  16.089    0.017   1332     22 0x080010
 59154.278296  16.185    0.020   1220     25 0x000000
 59154.281552  16.165    0.021   1241     26 0x000030
 59154.288026  16.173    0.021   1232     26 0x080010
 59154.298219  16.160    0.021   1247     26 0x000030
 59156.285842  16.108    0.022   1309     28 0x080010
 59156.295937  16.133    0.021   1279     26 0x000000
 59156.299606  16.098    0.022   1321     29 0x000010
 59156.305558  15.770    0.030   1786     53 0x500833
 59162.268017  16.153    0.015   1255     18 0x082030
 59162.271243  16.223    0.016   1178     19 0x400130
 59162.278157  16.239    0.017   1160     19 0x400330
 59162.289230  16.202    0.016   1200     19 0x002000
 59178.221243  16.297    0.018   1099     20 0x080010
 59178.229132  16.265    0.028   1132     32 0x080010
 59178.231899  16.308    0.020   1089     21 0x080010
 59178.242072  16.244    0.019   1155     22 0x000000
 59180.217029  16.258    0.023   1139     27 0x400110
 59180.220266  16.554    0.034    868     29 0x500831
 59180.225777  16.301    0.028   1096     30 0x002000
 59180.237258  16.235    0.021   1164     24 0x002010
 59182.189559  16.282    0.048   1115     54 0x500812
 59182.192349  16.315    0.029   1082     32 0x082010
 59182.197450  16.252    0.024   1146     28 0x082010
 59186.234394  16.349    0.019   1048     20 0x400110
 59186.238076  16.402    0.018    998     18 0x400630
 59186.243600  16.382    0.020   1016     20 0x002030
 59186.253751  16.338    0.018   1059     19 0x082030
 59188.227513  16.257    0.068   1141     77 0x900002
 59188.231202  16.137    0.019   1274     24 0xc00220
 59188.237161  14.528    0.005   5609     28 0xd00a31
 59188.247245  14.784    0.005   4431     21 0xd00831
 59212.200604  16.477    0.048    931     45 0x000000
 59212.203820  16.483    0.041    926     38 0x080010
 59212.210716  16.509    0.038    905     35 0x080010
 59212.222613  16.505    0.037    908     33 0x000000
 59304.523824  17.633    0.739    321    237 0x900002
 59304.534003  17.317    0.199    430     86 0x900002
 59310.602561  17.273    0.035    447     16 0x400110
 59310.606244  17.316    0.035    430     15 0x400220
 59310.622871  17.318    0.032    430     14 0x082030
 59310.633011  17.291    0.039    440     17 0x002030
 59328.561260  17.396    0.058    400     23 0x000000
 59328.564468  17.543    0.055    349     19 0x000000
 59328.575877  17.576    0.064    338     22 0x080010
 59328.587400  17.631    0.077    322     25 0x000000
